=== Server Log Started at 2026-09-07T00:38:02.063Z ===
[2026-09-07T00:38:02.196Z] [INFO] Successfully loaded local database cache from disk.
[2026-09-07T00:38:02.202Z] [INFO] Restoring custom maps from LocalDB...
[2026-09-07T00:38:02.204Z] [INFO] Custom maps restored.
[2026-09-07T00:38:02.205Z] [INFO] Loaded 0 Telegram bots from LocalDB.
[2026-09-07T00:38:02.469Z] [INFO] Server running on http://0.0.0.0:3000
[2026-09-07T00:38:03.328Z] [INFO] [DEBUG] Incoming request: GET /
[2026-09-07T00:38:06.082Z] [INFO] [DEBUG] Incoming request: GET /api/admin/quota-stats
[2026-09-07T00:38:06.086Z] [INFO] [DEBUG] Incoming request: GET /api/admin/rooms
[2026-09-07T00:38:08.985Z] [INFO] [DEBUG] Incoming request: GET /
[2026-09-07T00:38:09.145Z] [INFO] [DEBUG] Incoming request: GET /@vite/client
[2026-09-07T00:38:09.147Z] [INFO] [DEBUG] Incoming request: GET /src/main.tsx
[2026-09-07T00:38:09.342Z] [INFO] [DEBUG] Incoming request: GET /src/components/ErrorBoundary.tsx
[2026-09-07T00:38:09.343Z] [INFO] [DEBUG] Incoming request: GET /src/App.tsx
[2026-09-07T00:38:09.345Z] [INFO] [DEBUG] Incoming request: GET /src/index.css
[2026-09-07T00:38:09.399Z] [INFO] [DEBUG] Incoming request: GET /node_modules/vite/dist/client/env.mjs
[2026-09-07T00:38:09.533Z] [INFO] [DEBUG] Incoming request: GET /src/components/setka_tourn/storage.ts
[2026-09-07T00:38:09.536Z] [INFO] [DEBUG] Incoming request: GET /src/firebase.ts
[2026-09-07T00:38:09.537Z] [INFO] [DEBUG] Incoming request: GET /src/lib/utils.ts
[2026-09-07T00:38:09.542Z] [INFO] [DEBUG] Incoming request: GET /src/components/Simulator.tsx
[2026-09-07T00:38:09.543Z] [INFO] [DEBUG] Incoming request: GET /src/components/setka_tourn/TournamentBracket.tsx
[2026-09-07T00:38:09.544Z] [INFO] [DEBUG] Incoming request: GET /src/components/Matches.tsx
[2026-09-07T00:38:09.545Z] [INFO] [DEBUG] Incoming request: GET /src/components/Statistics.tsx
[2026-09-07T00:38:09.546Z] [INFO] [DEBUG] Incoming request: GET /src/components/Transfers.tsx
[2026-09-07T00:38:09.547Z] [INFO] [DEBUG] Incoming request: GET /src/components/Teams.tsx
[2026-09-07T00:38:09.548Z] [INFO] [DEBUG] Incoming request: GET /src/components/News.tsx
[2026-09-07T00:38:09.550Z] [INFO] [DEBUG] Incoming request: GET /src/components/Settings.tsx
[2026-09-07T00:38:09.551Z] [INFO] [DEBUG] Incoming request: GET /src/components/AdminAnalytics.tsx
[2026-09-07T00:38:09.553Z] [INFO] [DEBUG] Incoming request: GET /src/components/TgUsers.tsx
[2026-09-07T00:38:09.553Z] [INFO] [DEBUG] Incoming request: GET /src/components/Players.tsx
[2026-09-07T00:38:09.720Z] [INFO] [DEBUG] Incoming request: GET /src/components/setka_tourn/doubleEliminationLogic.ts
[2026-09-07T00:38:09.730Z] [INFO] [DEBUG] Incoming request: GET /src/components/setka_tourn/TournamentManager.tsx
[2026-09-07T00:38:09.736Z] [INFO] [DEBUG] Incoming request: GET /src/components/PlayerAvatar.tsx
[2026-09-07T00:38:09.739Z] [INFO] [DEBUG] Incoming request: GET /src/components/TeamAutocompleteInput.tsx
[2026-09-07T00:38:09.739Z] [INFO] [DEBUG] Incoming request: GET /src/lib/simulation.ts
[2026-09-07T00:38:09.740Z] [INFO] [DEBUG] Incoming request: GET /src/components/TeamLogo.tsx
